COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Chile,SEP2010,September 2010,2010,9,September,Natural gas,942.609,10,10124.676,,0.1932286568522643
Chile,SEP2010,September 2010,2010,9,September,Combustible renewables,142.98,11,2128.172,,0.0293099613484878
Chile,SEP2010,September 2010,2010,9,September,Not specified,9.333,13,111.996,,0.0019132037296505
Chile,SEP2010,September 2010,2010,9,September,Net electricity production,4878.205,14,58334.001,,1.0
Chile,SEP2010,September 2010,2010,9,September,Total imports,27.896,15,958.0,,0.0057184968651378
Chile,SEP2010,September 2010,2010,9,September,Electricity supplied,4906.101,17,59292.001,,1.0057184968651378
Chile,SEP2010,September 2010,2010,9,September,Distribution losses,408.254,19,4967.0,,0.0836893898472901
Chile,SEP2010,September 2010,2010,9,September,Final consumption,4497.847,20,54325.001,,0.9220291070178476
Chile,SEP2010,September 2010,2010,9,September,Electricity trade,-27.896,21,-958.0,,-0.0057184968651378
Chile,SEP2010,September 2010,2010,9,September,Renewables,1958.419,22,24101.174,,0.4014630381462034
Chile,SEP2010,September 2010,2010,9,September,Non-renewables,2919.786,23,34232.823,,0.5985369618537967
Chile,SEP2010,September 2010,2010,9,September,Others,1024.096,24,8134.076,,0.2099329568970553
Chile,SEP2010,September 2010,2010,9,September,Other renewables aggregated,142.98,25,2128.172,,0.0293099613484878
Chile,SEP2010,September 2010,2010,9,September,Low carbon,1967.752,26,24213.17,,0.4033762418758539
Chile,SEP2010,September 2010,2010,9,September,Fossil fuels,2919.786,27,34232.823,,0.5985369618537967
Chile,OCT2010,October 2010,2010,10,October,Hydro,1979.66,1,21641.001,,0.3966278438893194
Chile,OCT2010,October 2010,2010,10,October,Wind,23.519,2,332.001,,0.0047120668500817
Chile,OCT2010,October 2010,2010,10,October,Total combustible fuels,2978.716,7,36249.001,,0.5967902087422173
Chile,OCT2010,October 2010,2010,10,October,Coal,1385.451,8,15974.071,,0.2775771814070605
Chile,OCT2010,October 2010,2010,10,October,Oil,603.158,9,8022.08,,0.1208436080259206
Chile,OCT2010,October 2010,2010,10,October,Natural gas,786.13,10,10124.676,,0.1575023220738463
Chile,OCT2010,October 2010,2010,10,October,Combustible renewables,203.976,11,2128.172,,0.0408668968838931
Chile,OCT2010,October 2010,2010,10,October,Not specified,9.333,13,111.996,,0.0018698805183814
Chile,OCT2010,October 2010,2010,10,October,Net electricity production,4991.228,14,58334.001,,1.0
Chile,OCT2010,October 2010,2010,10,October,Total imports,92.176,15,958.0,,0.0184675995566622
Chile,OCT2010,October 2010,2010,10,October,Electricity supplied,5083.404,17,59292.001,,1.0184675995566623
Chile,OCT2010,October 2010,2010,10,October,Distribution losses,426.253,19,4967.0,,0.0854004265082661
Chile,OCT2010,October 2010,2010,10,October,Final consumption,4657.151,20,54325.001,,0.933067173048396
Chile,OCT2010,October 2010,2010,10,October,Electricity trade,-92.176,21,-958.0,,-0.0184675995566622
Chile,OCT2010,October 2010,2010,10,October,Renewables,2207.155,22,24101.174,,0.4422068076232943
Chile,OCT2010,October 2010,2010,10,October,Non-renewables,2784.072,23,34232.823,,0.557792992025209
Chile,OCT2010,October 2010,2010,10,October,Others,612.491,24,8134.076,,0.1227134885443021
Chile,OCT2010,October 2010,2010,10,October,Other renewables aggregated,203.976,25,2128.172,,0.0408668968838931
Chile,OCT2010,October 2010,2010,10,October,Low carbon,2216.488,26,24213.17,,0.4440766881416757
Chile,OCT2010,October 2010,2010,10,October,Fossil fuels,2784.072,27,34232.823,,0.557792992025209
Chile,NOV2010,November 2010,2010,11,November,Hydro,2010.61,1,21641.001,,0.4065655171632844
Chile,NOV2010,November 2010,2010,11,November,Wind,25.229,2,332.001,,0.0051015569566014
Chile,NOV2010,November 2010,2010,11,November,Total combustible fuels,2900.18,7,36249.001,,0.5864454974194966
Chile,NOV2010,November 2010,2010,11,November,Coal,1364.775,8,15974.071,,0.2759711996292276
Chile,NOV2010,November 2010,2010,11,November,Oil,170.287,9,8022.08,,0.0344337401192594
Chile,NOV2010,November 2010,2010,11,November,Natural gas,1124.149,10,10124.676,,0.2273142079038644
Chile,NOV2010,November 2010,2010,11,November,Combustible renewables,240.969,11,2128.172,,0.048726349767145
Chile,NOV2010,November 2010,2010,11,November,Not specified,9.333,13,111.996,,0.0018872262505831
Chile,NOV2010,November 2010,2010,11,November,Net electricity production,4945.353,14,58334.001,,1.0
Chile,NOV2010,November 2010,2010,11,November,Total imports,129.338,15,958.0,,0.026153441422685
Chile,NOV2010,November 2010,2010,11,November,Electricity supplied,5074.691,17,59292.001,,1.026153441422685
Chile,NOV2010,November 2010,2010,11,November,Distribution losses,430.159,19,4967.0,,0.0869824661657115
Chile,NOV2010,November 2010,2010,11,November,Final consumption,4644.532,20,54325.001,,0.9391709752569736
Chile,NOV2010,November 2010,2010,11,November,Electricity trade,-129.338,21,-958.0,,-0.026153441422685
Chile,NOV2010,November 2010,2010,11,November,Renewables,2276.808,22,24101.174,,0.4603934238870309
Chile,NOV2010,November 2010,2010,11,November,Non-renewables,2668.544,23,34232.823,,0.5396063739029348
Chile,NOV2010,November 2010,2010,11,November,Others,179.62,24,8134.076,,0.0363209663698425
Chile,NOV2010,November 2010,2010,11,November,Other renewables aggregated,240.969,25,2128.172,,0.048726349767145
Chile,NOV2010,November 2010,2010,11,November,Low carbon,2286.141,26,24213.17,,0.462280650137614
Chile,NOV2010,November 2010,2010,11,November,Fossil fuels,2668.544,27,34232.823,,0.5396063739029348
Chile,DEC2010,December 2010,2010,12,December,Hydro,1862.354,1,21641.001,,0.3491882541299787
Chile,DEC2010,December 2010,2010,12,December,Wind,23.581,2,332.001,,0.0044213979837555
Chile,DEC2010,December 2010,2010,12,December,Total combustible fuels,3438.113,7,36249.001,,0.6446404260261923
Chile,DEC2010,December 2010,2010,12,December,Coal,1442.39,8,15974.071,,0.2704457078914857
Chile,DEC2010,December 2010,2010,12,December,Oil,487.535,9,8022.08,,0.0914119955052901
Chile,DEC2010,December 2010,2010,12,December,Natural gas,1224.061,10,10124.676,,0.2295093862598602
Chile,DEC2010,December 2010,2010,12,December,Combustible renewables,284.126,11,2128.172,,0.0532731488712319
